contrada,translation_i,translation_ii,symbol_simple,symbol_detailed,colours_simple,colours_detailed,full_title,preposition,full_title_translation,festa_month,festa_day,terzo,designation
Aquila,Eagle,,eagle,two-headed eagle with a crown,yellow,yellow (with black and blue decoration),Nobile contrada,dell,noble,september,8,citta,Aquilini
Bruco,Caterpillar,Silkworm,caterpillar,caterpillar with a crown,green and yellow,green and yellow (with blue decoration),Nobil contrada,del,noble,july,2,camollia,Brucaioli
Chiocciola,Snail,,snail,snail,red and yellow ,red and yellow (with blue decoration),contrada,della,,june,29,citta,Chiocciolini
Civetta,Owl,,owl,owl with a crown,red and black,red and black (with white decoration),contrada Priora,della,prioress,june,13,san martino,Civettini
Drago,Dragon,,dragon,"volant, rampant dragon with a crown",red and green,red and green (with yellow decoration),contrada,del,,april,29,camollia,Dragaioli
Giraffa,Giraffe,,giraffe,giraffe led by a Moor,red and white,red and white,Imperiale contrada,della,imperial,july,2,camollia,Giraffini
Istrice,Porcupine,,porcupine,bristling porcupine with a crown,"red, black, blue, and white","red, black, and blue on a white background",contrada Sovrana,dell,sovereign,august,24,camollia,Istraciaioli
Leocorno,Unicorn,,unicorn,rampant unicorn,white and orange,white and orange (with white decoration),contrada,del,,june,24,san martino,Lecaioli
Lupa,She-wolf,,she-wolf,she-wolf with a crown suckling twin boys,white and black,white and black (with orange decoration),contrada,della,,august,16,camollia,Lupaioli
Nicchio,Shell,,shell,scallop shell with a crown,blue,blue (with red and yellow decoration),Nobile contrada,del,noble,august,7,san martino,Nicchiaioli
Oca,Goose,,goose,goose with a crown,white and green,white and green (with red decoration),Nobile contrada,dell,noble,april,29,camollia,Ocaioli
Onda,Wave,,dolphin,dolphin wearing a crown,white and pale blue,white and pale blue,contrada Capitana,dell,captain,july,2,citta,Ondaioli
Pantera,Panther,,panther,rampant panther wearing a crown ,red and blue,red and blue (with white decoration),contrada,della,,august,29,citta,Panterini
Selva,Forest,Wood,rhinoceros,rhinoceros under an oak tree,green and orange,green and orange (with white decoration) ,contrada,della,,august,15,citta,Selvaioli
Tartuca,Tortoise,Turtle,tortoise,tortoise,blue and yellow,blue and yellow,contrada,della,,june,13,citta,Tartuchini
Torre,Tower,,elephant,crowned elephant with a tower on its back,burgundy red,burgundy red (with white and pale blue decoration),contrada,della,,july,25,san martino,Torraioli
Valdimontone,Ram,,ram,rampant ram with a crown,red and yellow,red and yellow (with white decoration),contrada,di,,april,26,san martino,Montonaioli
