contrada,lon,lat,building
Aquila,11.330788,43.3165296,church
Bruco,11.332919,43.323051,church
Chiocciola,11.3279889,43.3132925,church
Civetta,11.3324109,43.3197019,church
Drago,11.3289952,43.3214347,church
Giraffa,11.332788,43.320975,church
Istrice,11.327316,43.3254395,church
Leocorno,11.3346958,43.3189624,church
Lupa,11.3314209,43.323044,church
Nicchio,11.3386511,43.3178664,church
Oca,11.328437,43.31965,church
Onda,11.3319683,43.3153185,church
Pantera,11.3273905,43.3142242,church
Selva,11.3273994,43.3171497,church
Tartuca,11.329672,43.3148439,church
Torre,11.3345138,43.3169519,church
Valdimontone,11.338743,43.315079,church
Aquila,11.329261,43.31641,societa
Bruco,11.332976,43.323015,societa
Chiocciola,11.328055,43.313254,societa
Civetta,11.332116,43.319853,societa
Drago,11.32844,43.32099,societa
Giraffa,11.332956,43.321213,societa
Istrice,11.325668,43.32715,societa
Leocorno,11.334589,43.319039,societa
Lupa,11.330844,43.322932,societa
Nicchio,11.339812,43.317781,societa
Oca,11.328532,43.319621,societa
Onda,11.332579,43.31668,societa
Pantera,11.328627,43.315088,societa
Selva,11.327338,43.317628,societa
Tartuca,11.330781,43.314352,societa
Torre,11.33453,43.316885,societa
Valdimontone,11.337749,43.315367,societa
Provenzano,11.3326,43.3209,worship-civ
San-Francesco,11.3346,43.3223,worship-leo
Lizza,11.32724,43.323575,meeting-place
Duomo,11.328907,43.317703,duomo
Campo,11.331672,43.318472,campo
