contrada,territory_site,church_visited,societa_visited,order_visited,period
civetta,aquila,1,1,17,pm
civetta,bruco,1,0,4,am
civetta,campo,NA,NA,18,pm
civetta,chiocciola,1,0,15,pm
civetta,civetta,1,1,NA,both
civetta,drago,1,0,1,am
civetta,duomo,NA,NA,13,pm
civetta,giraffa,1,1,5,am
civetta,istrice,1,1,2,am
civetta,leocorno,0,0,NA,NA
civetta,lupa,1,0,3,am
civetta,nicchio,1,0,9,am
civetta,oca,1,0,11,pm
civetta,onda,1,0,6,am
civetta,pantera,1,1,14,pm
civetta,patronal-site,NA,NA,10,pm
civetta,selva,1,0,12,pm
civetta,tartuca,1,0,16,pm
civetta,torre,1,0,7,am
civetta,valdimontone,1,0,8,am
leocorno,aquila,1,0,9,am
leocorno,bruco,1,0,14,pm
leocorno,campo,NA,NA,18,pm
leocorno,chiocciola,1,0,8,am
leocorno,civetta,0,0,NA,NA
leocorno,drago,1,0,16,pm
leocorno,duomo,NA,NA,6,am
leocorno,giraffa,1,0,12,pm
leocorno,istrice,1,0,17,pm
leocorno,leocorno,1,0,NA,both
leocorno,lupa,1,0,15,pm
leocorno,nicchio,1,0,3,am
leocorno,oca,1,0,4,am
leocorno,onda,1,0,10,am
leocorno,pantera,1,1,7,am
leocorno,patronal-site,NA,NA,13,pm
leocorno,selva,1,0,5,am
leocorno,tartuca,1,1,11,am
leocorno,torre,1,0,1,am
leocorno,valdimontone,1,0,2,am
