id,contrada,study,period,study_year,session,age,gender,employment,personal_income,education,location_birth,residence,years_away,months_away,member_kinship,member_birth,member_choice,member_other,member_other_text,protettore,role_current,role_past,participation_social,participation_organisational,friends_same_contrada,friends_different_contrada,friends_no_contrada,better_statement,participation_religious,experience
143C16,C16,one,winter,2017,1,54,female,employed,similar,diploma,municipality-siena,municipality-siena,0,0,no,no,yes,no,NA,yes,no,no,once-month,once-month,3,0,0,neither,weekly,NA
144C16,C16,one,winter,2017,1,47,male,employed,similar,post-laurea,sulle-lastre,municipality-siena,0,0,yes-father,no,no,no,NA,yes,no,yes,never,never,5,0,0,neither,once-a-year,NA
147C05,C05,one,winter,2017,1,53,male,employed,more,diploma,sulle-lastre,different-contrada,NA,NA,yes-father,no,no,no,NA,yes,yes,yes,few-times-a-week,few-times-a-week,5,0,0,strongly-agree,few-times-a-year,NA
148C05,C05,one,winter,2017,1,29,male,employed,similar,qualifica,municipality-siena,province-siena,NA,NA,yes-mother,no,no,no,NA,yes,yes,yes,weekly,weekly,4,1,0,strongly-agree,few-times-a-year,NA
149C05,C05,one,winter,2017,1,71,male,pensioned,more,laurea,municipality-siena,municipality-siena,NA,NA,yes-father,yes,no,no,NA,yes,no,yes,near-weekly,near-weekly,5,0,0,strongly-agree,few-times-a-year,NA
150C05,C05,one,winter,2017,1,53,male,employed,more,laurea,sulle-lastre,same-contrada,NA,NA,yes-mother,yes,no,no,NA,yes,yes,yes,weekly,few-times-a-week,4,1,0,agree,few-times-a-year,NA
151C05,C05,one,winter,2017,1,23,female,student,more,diploma,outside-siena,different-contrada,NA,NA,yes-father,no,no,no,NA,yes,yes,no,near-weekly,near-weekly,2,3,0,strongly-agree,never,NA
152C05,C05,one,winter,2017,1,30,female,employed,similar,diploma,sulle-lastre,municipality-siena,NA,NA,yes-father,yes,no,no,NA,yes,yes,no,near-weekly,few-times-a-month,5,0,0,agree,few-times-a-year,NA
153C05,C05,one,winter,2017,1,19,male,student,similar,diploma,municipality-siena,municipality-siena,NA,NA,yes-mother,no,no,no,NA,yes,yes,no,near-daily,daily,5,0,0,strongly-agree,once-a-year,NA
154C05,C05,one,winter,2017,1,51,male,employed,more,diploma,sulle-lastre,municipality-siena,NA,NA,no,yes,no,no,NA,yes,no,yes,weekly,weekly,2,3,0,strongly-agree,few-times-a-year,NA
155C05,C05,one,winter,2017,1,50,male,employed,similar,licenzia-media,sulle-lastre,same-contrada,NA,NA,no,yes,no,no,NA,yes,yes,no,few-times-a-week,few-times-a-week,3,1,1,neither,few-times-a-year,NA
156C05,C05,one,winter,2017,1,42,female,employed,similar,diploma,sulle-lastre,municipality-siena,NA,NA,yes-both-parents,yes,no,no,NA,yes,no,yes,near-weekly,once-month,3,2,0,strongly-agree,few-times-a-year,NA
157C05,C05,one,winter,2017,1,24,female,student,more,diploma,municipality-siena,different-contrada,NA,NA,yes-both-parents,no,no,no,NA,yes,yes,no,weekly,near-weekly,2,2,1,strongly-agree,few-times-a-year,NA
158C05,C05,one,winter,2017,1,50,male,employed,more,post-laurea,municipality-siena,municipality-siena,NA,NA,yes-father,no,no,no,NA,yes,no,yes,few-times-a-week,few-times-a-month,3,2,0,neither,few-times-a-year,NA
159C05,C05,one,winter,2017,1,22,male,employed,similar,diploma,sulle-lastre,same-contrada,NA,NA,yes-father,no,no,no,NA,yes,yes,yes,near-daily,near-weekly,5,0,0,strongly-agree,few-times-a-year,NA
160C05,C05,one,winter,2017,1,52,male,employed,more,laurea,outside-siena,region-tuscany,NA,NA,yes-father,no,no,no,NA,yes,yes,no,once-month,near-daily,4,0,1,strongly-agree,once-a-year,NA
161C16,C16,one,winter,2017,1,46,male,other,less,post-laurea,outside-siena,different-contrada,0,0,no,no,no,yes,Per nomina a [CONTRADA POSITION],yes,yes,no,few-times-a-month,once-month,0,1,4,strongly-agree,few-times-a-month,NA
162C16,C16,one,winter,2017,1,52,female,employed,less,diploma,sulle-lastre,municipality-siena,0,0,no,yes,no,no,NA,yes,no,yes,once-month,few-times-a-month,5,0,0,disagree,weekly,NA
163C16,C16,one,winter,2017,1,53,female,employed,similar,laurea-magistrale,sulle-lastre,province-siena,0,0,no,yes,no,no,NA,yes,no,yes,once-month,few-times-a-month,1,3,1,neither,few-times-a-year,NA
164C16,C16,one,winter,2017,1,47,male,employed,more,laurea,outside-siena,same-contrada,12,0,yes-mother,no,no,no,NA,yes,yes,no,once-month,once-month,2,1,2,neither,weekly,NA
165C16,C16,one,winter,2017,1,32,male,employed,similar,diploma,municipality-siena,province-siena,0,0,no,no,yes,no,NA,yes,yes,no,near-weekly,few-times-a-month,2,2,1,neither,few-times-a-year,NA
167C16,C16,one,winter,2017,1,35,male,employed,more,laurea-triennale,municipality-siena,different-contrada,0,8,no,yes,no,no,NA,yes,no,yes,once-month,never,2,2,1,neither,once-a-year,NA
170C16,C16,one,winter,2017,1,30,male,employed,less,post-laurea,municipality-siena,municipality-siena,0,0,yes-mother,no,no,no,NA,yes,yes,yes,few-times-a-month,few-times-a-month,4,1,0,neither,never,NA
